Consumption DK areas in MWh;;;;
Data was last updated 06-03-2016;;;;
;Hours;DK1;DK2;DK
01-01-2016;00 - 01;1818;1341;3159
01-01-2016;01 - 02;1741;1288;3029
01-01-2016;02 - 03;1660;1232;2892
01-01-2016;03 - 04;1593;1169;2762
01-01-2016;04 - 05;1545;1141;2686
01-01-2016;05 - 06;1552;1144;2696
01-01-2016;06 - 07;1605;1175;2780
01-01-2016;07 - 08;1663;1202;2865
01-01-2016;08 - 09;1733;1239;2972
01-01-2016;09 - 10;1809;1310;3119
01-01-2016;10 - 11;1922;1411;3333
01-01-2016;11 - 12;2010;1479;3489
01-01-2016;12 - 13;2043;1518;3561
01-01-2016;13 - 14;2043;1530;3573
01-01-2016;14 - 15;2043;1544;3587
01-01-2016;15 - 16;2088;1589;3677
01-01-2016;16 - 17;2312;1709;4021
01-01-2016;17 - 18;2433;1800;4233
01-01-2016;18 - 19;2481;1788;4269
01-01-2016;19 - 20;2335;1703;4038
01-01-2016;20 - 21;2149;1593;3742
01-01-2016;21 - 22;2000;1501;3501
01-01-2016;22 - 23;1858;1411;3269
01-01-2016;23 - 00;1713;1314;3027
02-01-2016;00 - 01;1615;1215;2830
02-01-2016;01 - 02;1510;1155;2665
02-01-2016;02 - 03;1461;1120;2581
02-01-2016;03 - 04;1463;1113;2576
02-01-2016;04 - 05;1476;1124;2600
02-01-2016;05 - 06;1579;1160;2739
02-01-2016;06 - 07;1683;1239;2922
02-01-2016;07 - 08;1883;1350;3233
02-01-2016;08 - 09;2026;1459;3485
02-01-2016;09 - 10;2157;1589;3746
02-01-2016;10 - 11;2282;1706;3988
02-01-2016;11 - 12;2325;1750;4075
02-01-2016;12 - 13;2254;1757;4011
02-01-2016;13 - 14;2297;1765;4062
02-01-2016;14 - 15;2295;1778;4073
02-01-2016;15 - 16;2266;1806;4072
02-01-2016;16 - 17;2464;1945;4409
02-01-2016;17 - 18;2703;2070;4773
02-01-2016;18 - 19;2651;2052;4703
02-01-2016;19 - 20;2435;1910;4345
02-01-2016;20 - 21;2264;1777;4041
02-01-2016;21 - 22;2092;1668;3760
02-01-2016;22 - 23;2027;1591;3618
02-01-2016;23 - 00;1822;1462;3284
03-01-2016;00 - 01;1724;1388;3112
03-01-2016;01 - 02;1665;1315;2980
03-01-2016;02 - 03;1671;1259;2930
03-01-2016;03 - 04;1619;1210;2829
03-01-2016;04 - 05;1642;1249;2891
03-01-2016;05 - 06;1669;1270;2939
03-01-2016;06 - 07;1810;1329;3139
03-01-2016;07 - 08;1986;1400;3386
03-01-2016;08 - 09;2177;1506;3683
03-01-2016;09 - 10;2195;1629;3824
03-01-2016;10 - 11;2342;1734;4076
03-01-2016;11 - 12;2379;1777;4156
03-01-2016;12 - 13;2297;1774;4071
03-01-2016;13 - 14;2303;1753;4056
03-01-2016;14 - 15;2323;1750;4073
03-01-2016;15 - 16;2373;1743;4116
03-01-2016;16 - 17;2603;1820;4423
03-01-2016;17 - 18;2896;1923;4819
03-01-2016;18 - 19;2803;1937;4740
03-01-2016;19 - 20;2621;1867;4488
03-01-2016;20 - 21;2450;1753;4203
03-01-2016;21 - 22;2294;1706;4000
03-01-2016;22 - 23;2127;1557;3684
03-01-2016;23 - 00;1998;1431;3429
04-01-2016;00 - 01;1844;1347;3191
04-01-2016;01 - 02;1803;1294;3097
04-01-2016;02 - 03;1789;1255;3044
04-01-2016;03 - 04;1819;1251;3070
04-01-2016;04 - 05;1903;1282;3185
04-01-2016;05 - 06;2056;1399;3455
04-01-2016;06 - 07;2434;1636;4070
04-01-2016;07 - 08;2966;1944;4910
04-01-2016;08 - 09;3100;2048;5148
04-01-2016;09 - 10;3059;2067;5126
04-01-2016;10 - 11;3116;2072;5188
04-01-2016;11 - 12;3067;2060;5127
04-01-2016;12 - 13;2991;2026;5017
04-01-2016;13 - 14;3013;2019;5032
04-01-2016;14 - 15;2876;1997;4873
04-01-2016;15 - 16;2864;2005;4869
04-01-2016;16 - 17;2977;2151;5128
04-01-2016;17 - 18;3198;2338;5536
04-01-2016;18 - 19;3047;2274;5321
04-01-2016;19 - 20;2919;2102;5021
04-01-2016;20 - 21;2698;1949;4647
04-01-2016;21 - 22;2463;1809;4272
04-01-2016;22 - 23;2293;1639;3932
04-01-2016;23 - 00;2079;1495;3574
05-01-2016;00 - 01;1940;1385;3325
05-01-2016;01 - 02;1891;1326;3217
05-01-2016;02 - 03;1952;1292;3244
05-01-2016;03 - 04;1957;1298;3255
05-01-2016;04 - 05;2031;1340;3371
05-01-2016;05 - 06;2162;1435;3597
05-01-2016;06 - 07;2559;1708;4267
05-01-2016;07 - 08;3020;2005;5025
05-01-2016;08 - 09;3143;2109;5252
05-01-2016;09 - 10;3052;2136;5188
05-01-2016;10 - 11;3091;2138;5229
05-01-2016;11 - 12;3098;2112;5210
05-01-2016;12 - 13;3051;2064;5115
05-01-2016;13 - 14;2982;1985;4967
05-01-2016;14 - 15;2939;2039;4978
05-01-2016;15 - 16;2864;2043;4907
05-01-2016;16 - 17;3036;2096;5132
05-01-2016;17 - 18;3300;2233;5533
05-01-2016;18 - 19;3145;2219;5364
05-01-2016;19 - 20;2928;2130;5058
05-01-2016;20 - 21;2729;2010;4739
05-01-2016;21 - 22;2562;1876;4438
05-01-2016;22 - 23;2372;1706;4078
05-01-2016;23 - 00;2193;1539;3732
06-01-2016;00 - 01;2060;1442;3502
06-01-2016;01 - 02;1989;1381;3370
06-01-2016;02 - 03;1956;1359;3315
06-01-2016;03 - 04;1976;1382;3358
06-01-2016;04 - 05;2004;1405;3409
06-01-2016;05 - 06;2170;1499;3669
06-01-2016;06 - 07;2605;1754;4359
06-01-2016;07 - 08;3074;2033;5107
06-01-2016;08 - 09;3158;2104;5262
06-01-2016;09 - 10;3031;2062;5093
06-01-2016;10 - 11;3062;2060;5122
06-01-2016;11 - 12;3704;2040;5744
06-01-2016;12 - 13;2908;2040;4948
06-01-2016;13 - 14;2980;2026;5006
06-01-2016;14 - 15;2916;2014;4930
06-01-2016;15 - 16;2927;2016;4943
06-01-2016;16 - 17;3096;2078;5174
06-01-2016;17 - 18;3294;2250;5544
06-01-2016;18 - 19;3134;2196;5330
06-01-2016;19 - 20;2952;2100;5052
06-01-2016;20 - 21;2770;1984;4754
06-01-2016;21 - 22;2594;1812;4406
06-01-2016;22 - 23;2418;1718;4136
06-01-2016;23 - 00;2187;1560;3747
07-01-2016;00 - 01;2079;1456;3535
07-01-2016;01 - 02;2116;1410;3526
07-01-2016;02 - 03;2068;1396;3464
07-01-2016;03 - 04;2068;1392;3460
07-01-2016;04 - 05;2125;1409;3534
07-01-2016;05 - 06;2263;1475;3738
07-01-2016;06 - 07;2640;1703;4343
07-01-2016;07 - 08;3054;1920;4974
07-01-2016;08 - 09;3191;1942;5133
07-01-2016;09 - 10;3139;1948;5087
07-01-2016;10 - 11;3144;1953;5097
07-01-2016;11 - 12;3136;1928;5064
07-01-2016;12 - 13;3031;1922;4953
07-01-2016;13 - 14;3029;1897;4926
07-01-2016;14 - 15;3007;1908;4915
07-01-2016;15 - 16;2960;1915;4875
07-01-2016;16 - 17;3048;2036;5084
07-01-2016;17 - 18;3263;2161;5424
07-01-2016;18 - 19;3096;2116;5212
07-01-2016;19 - 20;2931;2049;4980
07-01-2016;20 - 21;2752;1954;4706
07-01-2016;21 - 22;2629;1820;4449
07-01-2016;22 - 23;2398;1661;4059
07-01-2016;23 - 00;2221;1489;3710
08-01-2016;00 - 01;2017;1380;3397
08-01-2016;01 - 02;1957;1325;3282
08-01-2016;02 - 03;2005;1302;3307
08-01-2016;03 - 04;2007;1293;3300
08-01-2016;04 - 05;2075;1338;3413
08-01-2016;05 - 06;2209;1430;3639
08-01-2016;06 - 07;2553;1665;4218
08-01-2016;07 - 08;2989;1940;4929
08-01-2016;08 - 09;3128;2042;5170
08-01-2016;09 - 10;3089;2087;5176
08-01-2016;10 - 11;3147;2057;5204
08-01-2016;11 - 12;3124;2029;5153
08-01-2016;12 - 13;3004;2018;5022
08-01-2016;13 - 14;2893;2051;4944
08-01-2016;14 - 15;2811;1996;4807
08-01-2016;15 - 16;2705;1971;4676
08-01-2016;16 - 17;2757;2081;4838
08-01-2016;17 - 18;3017;2205;5222
08-01-2016;18 - 19;2927;2144;5071
08-01-2016;19 - 20;2690;2019;4709
08-01-2016;20 - 21;2507;1866;4373
08-01-2016;21 - 22;2371;1744;4115
08-01-2016;22 - 23;2244;1610;3854
08-01-2016;23 - 00;2087;1496;3583
09-01-2016;00 - 01;1937;1400;3337
09-01-2016;01 - 02;1851;1329;3180
09-01-2016;02 - 03;1805;1279;3084
09-01-2016;03 - 04;1790;1264;3054
09-01-2016;04 - 05;1801;1252;3053
09-01-2016;05 - 06;1845;1285;3130
09-01-2016;06 - 07;1963;1348;3311
